#Network: p2p-Gnutella04.snap
#Nodes: 10876	Edges: 39994
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
0	17.000000	0.246269	38267.789206	0.007941	0.066999	0.022059	0.000121	0.000452	0.004931
1	14.000000	0.241147	34685.181301	0.004320	0.079023	0.010989	0.000085	0.000468	0.000179
2	9.000000	0.232665	21283.169650	0.002361	0.121755	0.027778	0.000135	0.000000	0.000525
3	16.000000	0.239369	59379.998751	0.006596	0.069589	0.008333	0.000122	0.000481	0.000667
4	16.000000	0.250576	62979.803065	0.008445	0.067678	0.000000	0.000406	0.000000	0.001797
5	7.000000	0.224333	9934.754091	0.001890	0.153552	0.000000	0.000103	0.000000	0.000543
6	8.000000	0.235196	10615.518504	0.003257	0.135933	0.035714	0.000158	0.000000	0.000780
7	5.000000	0.226889	3566.120726	0.003969	0.212340	0.000000	0.000114	0.000000	0.000637
8	11.000000	0.230735	23757.450291	0.002660	0.101092	0.000000	0.000065	0.000553	0.000029
9	17.000000	0.249633	58298.661291	0.006021	0.063038	0.000000	0.000191	0.000000	0.001575
10	14.000000	0.237669	29291.267330	0.004452	0.079393	0.000000	0.000093	0.000555	0.000239
11	12.000000	0.242194	29049.914918	0.005545	0.088892	0.000000	0.000159	0.000000	0.001847
12	12.000000	0.229092	37937.193533	0.002700	0.091899	0.000000	0.000070	0.000176	0.000052
13	11.000000	0.234587	20284.511684	0.002509	0.097832	0.000000	0.000122	0.000000	0.000566
14	13.000000	0.245120	35804.429282	0.004968	0.083254	0.000000	0.000077	0.001261	0.000384
15	4.000000	0.220848	2369.445426	0.001165	0.265553	0.000000	0.000089	0.000000	0.000171
16	9.000000	0.234224	20461.426179	0.006657	0.118766	0.000000	0.000141	0.000000	0.002174
17	15.000000	0.239886	39507.414939	0.004693	0.078882	0.038095	0.000097	0.000687	0.000959
18	11.000000	0.241957	36804.088092	0.009927	0.096511	0.000000	0.000199	0.000000	0.000322
19	14.000000	0.237565	33575.692805	0.003910	0.079071	0.000000	0.000084	0.000418	0.000207
